"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"09/04/2023 22:16:08:992 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"3","25","5","no-visualization","300","58","300","55.13"
"7","25","5","no-visualization","700","36","700","29.1"
"1","25","5","no-visualization","100","19","100","30.78"
"4","25","5","no-visualization","400","54","400","48.6975"
"6","25","5","no-visualization","600","41","600","33.43"
"2","25","5","no-visualization","200","80","200","64.58"
"5","25","5","no-visualization","500","48","500","41.124"
"8","25","5","no-visualization","800","28","800","22.59875"
"3","25","5","no-visualization","300","59","300","55.986666666666665"
"7","25","5","no-visualization","700","37","700","29.664285714285715"
"4","25","5","no-visualization","400","55","400","49.43"
"3","25","5","no-visualization","300","60","300","56.776666666666664"
"5","25","5","no-visualization","500","49","500","41.89"
"2","25","5","no-visualization","200","81","200","64.675"
"6","25","5","no-visualization","600","42","600","33.958333333333336"
"4","25","5","no-visualization","400","56","400","50.35"
"8","25","5","no-visualization","800","29","800","23.155"
"3","25","5","no-visualization","300","61","300","57.28333333333333"
"7","25","5","no-visualization","700","38","700","30.14857142857143"
"5","25","5","no-visualization","500","50","500","42.65"
"2","25","5","no-visualization","200","82","200","63.635"
"4","25","5","no-visualization","400","57","400","51.12"
"3","25","5","no-visualization","300","62","300","57.32333333333333"
"2","25","5","no-visualization","200","83","200","62.665"
"4","25","5","no-visualization","400","58","400","51.89"
"5","25","5","no-visualization","500","51","500","43.384"
"2","25","5","no-visualization","200","84","200","62.745"
"3","25","5","no-visualization","300","63","300","57.416666666666664"
"8","25","5","no-visualization","800","30","800","23.5475"
"4","25","5","no-visualization","400","59","400","52.795"
"2","25","5","no-visualization","200","85","200","61.765"
"3","25","5","no-visualization","300","64","300","55.553333333333335"
"2","25","5","no-visualization","200","86","200","60.565"
"5","25","5","no-visualization","500","52","500","44.284"
"1","25","5","no-visualization","100","20","100","31.8"
"3","25","5","no-visualization","300","65","300","55.63333333333333"
"6","25","5","no-visualization","600","43","600","34.505"
"4","25","5","no-visualization","400","60","400","53.66"
"8","25","5","no-visualization","800","31","800","23.86125"
"2","25","5","no-visualization","200","87","200","58.905"
"2","25","5","no-visualization","200","88","200","58.12"
"5","25","5","no-visualization","500","53","500","45.062"
"3","25","5","no-visualization","300","66","300","56.16"
"6","25","5","no-visualization","600","44","600","35.19833333333333"
"4","25","5","no-visualization","400","61","400","53.4375"
"2","25","5","no-visualization","200","89","200","56.48"
"3","25","5","no-visualization","300","67","300","56.583333333333336"
"8","25","5","no-visualization","800","32","800","24.335"
"4","25","5","no-visualization","400","62","400","53.435"
"6","25","5","no-visualization","600","45","600","35.721666666666664"
"5","25","5","no-visualization","500","54","500","45.77"
"2","25","5","no-visualization","200","90","200","55.25"
"7","25","5","no-visualization","700","39","700","30.652857142857144"
"3","25","5","no-visualization","300","68","300","56.446666666666665"
"2","25","5","no-visualization","200","91","200","54.97"
"4","25","5","no-visualization","400","63","400","54.03"
"5","25","5","no-visualization","500","55","500","46.662"
"3","25","5","no-visualization","300","69","300","57.11333333333334"
"2","25","5","no-visualization","200","92","200","54.455"
"6","25","5","no-visualization","600","46","600","36.35666666666667"
"8","25","5","no-visualization","800","33","800","24.83375"
"1","25","5","no-visualization","100","21","100","33.02"
"2","25","5","no-visualization","200","93","200","52.52"
"4","25","5","no-visualization","400","64","400","53.955"
"5","25","5","no-visualization","500","56","500","47.322"
"2","25","5","no-visualization","200","94","200","49.02"
"7","25","5","no-visualization","700","40","700","31.217142857142857"
"3","25","5","no-visualization","300","70","300","57.473333333333336"
"2","25","5","no-visualization","200","95","200","48.92"
"6","25","5","no-visualization","600","47","600","37.075"
"4","25","5","no-visualization","400","65","400","53.645"
"5","25","5","no-visualization","500","57","500","48.03"
"8","25","5","no-visualization","800","34","800","25.2875"
"2","25","5","no-visualization","200","96","200","46.785"
