"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"experiment"
"09/04/2023 22:25:44:716 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"4","no-visualization","400","39","252","59.198412698412696"
"5","no-visualization","500","34","325","51.261538461538464"
"8","no-visualization","800","25","492","37.80691056910569"
"7","no-visualization","700","62","415","78.45301204819278"
"6","no-visualization","600","76","385","89.23896103896104"
"9","no-visualization","900","7","751","17.688415446071904"
"4","no-visualization","400","40","252","60.33730158730159"
"10","no-visualization","1000","1","1000","14.808"
"7","no-visualization","700","63","415","79.47710843373494"
"5","no-visualization","500","35","325","52.326153846153844"
"6","no-visualization","600","77","385","90.21818181818182"
"8","no-visualization","800","26","492","38.74593495934959"
"4","no-visualization","400","41","252","61.476190476190474"
"9","no-visualization","900","8","729","18.574759945130314"
"5","no-visualization","500","36","325","53.39076923076923"
"7","no-visualization","700","64","415","80.5012048192771"
"6","no-visualization","600","78","385","91.1974025974026"
"4","no-visualization","400","42","252","62.61507936507937"
"8","no-visualization","800","27","492","39.6849593495935"
"5","no-visualization","500","37","325","54.45538461538462"
"7","no-visualization","700","65","415","81.52530120481927"
"6","no-visualization","600","79","385","92.17662337662338"
"4","no-visualization","400","43","252","63.75396825396825"
"9","no-visualization","900","9","712","19.433988764044944"
"8","no-visualization","800","28","492","40.6239837398374"
"10","no-visualization","1000","2","989","14.820020222446916"
"7","no-visualization","700","66","415","82.54939759036145"
"5","no-visualization","500","38","325","55.52"
"6","no-visualization","600","80","385","93.15584415584415"
"9","no-visualization","900","10","692","20.46242774566474"
"1","no-visualization","100","10","82","22.048780487804876"
"7","no-visualization","700","67","415","83.57349397590362"
"6","no-visualization","600","81","385","94.13506493506493"
"4","no-visualization","400","44","252","64.89285714285714"
"5","no-visualization","500","39","325","56.58461538461538"
"6","no-visualization","600","82","385","95.11428571428571"
"8","no-visualization","800","29","492","41.5630081300813"
"7","no-visualization","700","68","415","84.59759036144578"
"9","no-visualization","900","11","675","21.494814814814816"
"5","no-visualization","500","40","325","57.64923076923077"
"10","no-visualization","1000","3","963","15.12461059190031"
"6","no-visualization","600","83","385","96.0935064935065"
"7","no-visualization","700","69","415","85.62168674698795"
"6","no-visualization","600","84","385","97.07272727272728"
"5","no-visualization","500","41","325","58.713846153846156"
"4","no-visualization","400","45","252","66.03174603174604"
"8","no-visualization","800","30","492","42.5020325203252"
"7","no-visualization","700","70","415","86.64578313253013"
"6","no-visualization","600","85","385","98.05194805194805"
"9","no-visualization","900","12","650","22.915384615384614"
"5","no-visualization","500","42","325","59.778461538461535"
"4","no-visualization","400","46","252","67.17063492063492"
"7","no-visualization","700","71","415","87.66987951807229"
"8","no-visualization","800","31","492","43.4410569105691"
"6","no-visualization","600","86","385","99.03116883116883"
"5","no-visualization","500","43","325","60.84307692307692"
"10","no-visualization","1000","4","939","15.482428115015974"
"4","no-visualization","400","47","252","68.30952380952381"
"5","no-visualization","500","44","325","61.90769230769231"
"6","no-visualization","600","87","385","100.01038961038961"
"7","no-visualization","700","72","415","88.69397590361446"
"8","no-visualization","800","32","492","44.38008130081301"
"4","no-visualization","400","48","252","69.4484126984127"
"5","no-visualization","500","45","325","62.972307692307695"
"6","no-visualization","600","88","385","100.98961038961039"
"7","no-visualization","700","73","415","89.71807228915662"
"1","no-visualization","100","11","79","23.582278481012658"
"9","no-visualization","900","13","637","24.047095761381474"
"4","no-visualization","400","49","252","70.58730158730158"
